Agriculture,Industrial Sector,Services Sector,Gross Domestic Product (FC),Year
5359,970,3745,10075,1950
5529,1058,3936,10524,1951
5453,1277,4474,11204,1952
5141,1308,4277,10727,1953
5582,1382,4177,11141,1954
5264,1470,4228,10962,1955
4355,1316,3526,9196,1956
6540,2047,5319,13906,1957
7065,2291,5757,15113,1958
7148,2377,5982,15507,1959
7711,2602,6513,16826,1960
8184,3070,7095,18349,1961
8216,3413,7510,19139,1962
8565,3993,7931,20489,1963
9499,4645,8801,22945,1964
10438,5209,10555,26202,1965
10572,5898,12499,28969,1966
12460,6362,13800,32622,1967
13994,6937,14611,35542,1968
14038,8245,15702,37985,1969
15964,9677,17706,43347,1970
16236,10727,19043,46006,1971
17934,10884,20966,49784,1972
21907,13602,25905,61414,1973
28084,18494,35112,81690,1974
33533,22944,47080,103557,1975
38338,27232,54166,119736,1976
43968,31099,60915,135982,1977
50567,36400,72873,159840,1978
54147,41872,81825,177844,1979
62164,52234,95855,210253,1980
76399,56013,115419,247831,1981
92216,65020,134917,292153,1982
99380,72492,156540,328412,1983
104550,84983,184816,374349,1984
121293,95516,208255,425064,1985
128801,108853,228665,466319,1986
135308,123828,256295,515431,1987
156375,146527,298123,601025,1988
184074,163248,335816,683138,1989
197441,191254,371156,759851,1990
233130,234033,441211,908374,1991
282374,274318,521251,1077943,1992
297814,303110,599205,1200129,1993
357924,351909,703025,1412858,1994
437034,397876,837067,1671977,1995
491791,466319,971781,1929891,1996
594554,523478,1108548,2226580,1997
677531,590504,1212849,2480884,1998
739569,649475,1346899,2735943,1999
923609,830865,1807546,3562020,2000
945301,942263,2035680,3923244,2001
968291,989349,2188527,4146167,2002
1059316,1083914,2390988,4534218,2003
1164751,1416986,2668790,5250527,2004
1314234,1659285,3149049,6122568,2005
1775346,1616157,4324274,7715777,2006
2014317,1846217,4875232,8735766,2007
2393527,2312375,5649353,10355255,2008
2998621,2533221,7010423,12542265,2009
3461273,2931695,7855579,14248547,2010
4592720,3746997,9307836,17647553,2011
4753075,4269666,10338770,19361511,2012
5334976,4519033,11642671,21496680,2013
5984026,4995554,12924402,23903982,2014
6575316,4904064,14342563,25821943,2015
